PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Cabin,Embarked,Fareplus
86,1,3,0,33.0,3,0,0,3,1
87,0,3,1,16.0,1,3,0,3,3
88,0,3,1,,0,0,0,3,0
89,1,1,0,23.0,3,2,3,3,20
90,0,3,1,24.0,0,0,0,3,0
91,0,3,1,29.0,0,0,0,3,0
92,0,3,1,20.0,0,0,0,3,0
93,0,1,1,46.0,1,0,5,3,6
94,0,3,1,26.0,1,2,0,3,2
95,0,3,1,59.0,0,0,0,3,0
96,0,3,1,,0,0,0,3,0
97,0,1,1,71.0,0,0,1,1,3
98,1,1,1,23.0,0,1,4,1,6
99,1,2,0,34.0,0,1,0,3,2
100,0,2,1,34.0,1,0,0,3,2
101,0,3,0,28.0,0,0,0,3,0
102,0,3,1,,0,0,0,3,0
103,0,1,1,21.0,0,1,4,3,7
104,0,3,1,33.0,0,0,0,3,0
105,0,3,1,37.0,2,0,0,3,0
106,0,3,1,28.0,0,0,0,3,0
107,1,3,0,21.0,0,0,0,3,0
108,1,3,1,,0,0,0,3,0
109,0,3,1,38.0,0,0,0,3,0
110,1,3,0,,1,0,0,2,2
111,0,1,1,47.0,0,0,3,3,5
112,0,3,0,14.5,1,0,0,1,1
113,0,3,1,22.0,0,0,0,3,0
114,0,3,0,20.0,1,0,0,3,0
115,0,3,0,17.0,0,0,0,1,1
116,0,3,1,21.0,0,0,0,3,0
117,0,3,1,70.5,0,0,0,2,0
118,0,2,1,29.0,1,0,0,3,2
119,0,1,1,24.0,0,1,2,1,19
120,0,3,0,2.0,4,2,0,3,3
121,0,2,1,21.0,2,0,0,3,7
122,0,3,1,,0,0,0,3,0
123,0,2,1,32.5,1,0,0,1,3
124,1,2,0,32.5,0,0,5,3,1
125,0,1,1,54.0,0,1,4,3,7
126,1,3,1,12.0,1,0,0,1,1
127,0,3,1,,0,0,0,2,0
128,1,3,1,24.0,0,0,0,3,0
129,1,3,0,,1,1,6,1,2
130,0,3,1,45.0,0,0,0,3,0
131,0,3,1,33.0,0,0,0,1,0
132,0,3,1,20.0,0,0,0,3,0
133,0,3,0,47.0,1,0,0,3,1
134,1,2,0,29.0,1,0,0,3,2
135,0,2,1,25.0,0,0,0,3,1
136,0,2,1,23.0,0,0,0,1,1
137,1,1,0,19.0,0,2,4,3,2
138,0,1,1,37.0,1,0,3,3,5
139,0,3,1,16.0,0,0,0,3,0
140,0,1,1,24.0,0,0,2,1,7
141,0,3,0,,0,2,0,1,1
142,1,3,0,22.0,0,0,0,3,0
143,1,3,0,24.0,1,0,0,3,1
144,0,3,1,19.0,0,0,0,2,0
145,0,2,1,18.0,0,0,0,3,1
146,0,2,1,19.0,1,1,0,3,3
147,1,3,1,27.0,0,0,0,3,0
148,0,3,0,9.0,2,2,0,3,3
149,0,2,1,36.5,0,2,6,3,2
150,0,2,1,42.0,0,0,0,3,1
151,0,2,1,51.0,0,0,0,3,1
152,1,1,0,22.0,1,0,3,3,6
153,0,3,1,55.5,0,0,0,3,0
154,0,3,1,40.5,0,2,0,3,1
155,0,3,1,,0,0,0,3,0
156,0,1,1,51.0,0,1,0,1,6
157,1,3,0,16.0,0,0,0,2,0
158,0,3,1,30.0,0,0,0,3,0
159,0,3,1,,0,0,0,3,0
160,0,3,1,,8,2,0,3,6
161,0,3,1,44.0,0,1,0,3,1
162,1,2,0,40.0,0,0,0,3,1
163,0,3,1,26.0,0,0,0,3,0
164,0,3,1,17.0,0,0,0,3,0
165,0,3,1,1.0,4,1,0,3,3
166,1,3,1,9.0,0,2,0,3,2
167,1,1,0,,0,1,5,3,5
168,0,3,0,45.0,1,4,0,3,2
169,0,1,1,,0,0,0,3,2
170,0,3,1,28.0,0,0,0,3,5
171,0,1,1,61.0,0,0,2,3,3
172,0,3,1,4.0,4,1,0,2,2
173,1,3,0,1.0,1,1,0,3,1
174,0,3,1,21.0,0,0,0,3,0
175,0,1,1,56.0,0,0,1,1,3
176,0,3,1,18.0,1,1,0,3,0
177,0,3,1,,3,1,0,3,2
178,0,1,0,50.0,0,0,3,1,2
179,0,2,1,30.0,0,0,0,3,1
180,0,3,1,36.0,0,0,0,3,0
181,0,3,0,,8,2,0,3,6
182,0,2,1,,0,0,0,1,1
183,0,3,1,9.0,4,2,0,3,3
184,1,2,1,1.0,2,1,6,3,3
185,1,3,0,4.0,0,2,0,3,2
186,0,1,1,,0,0,1,3,5
187,1,3,0,,1,0,0,2,1
188,1,1,1,45.0,0,0,0,3,2
189,0,3,1,40.0,1,1,0,2,1
190,0,3,1,36.0,0,0,0,3,0
191,1,2,0,32.0,0,0,0,3,1
192,0,2,1,19.0,0,0,0,3,1
193,1,3,0,19.0,1,0,0,3,0
194,1,2,1,3.0,1,1,6,3,2
195,1,1,0,44.0,0,0,2,1,2
196,1,1,0,58.0,0,0,2,1,14
197,0,3,1,,0,0,0,2,0
198,0,3,1,42.0,0,1,0,3,0
199,1,3,0,,0,0,0,2,0
200,0,2,0,24.0,0,0,0,3,1
201,0,3,1,28.0,0,0,0,3,0
202,0,3,1,,8,2,0,3,6
203,0,3,1,34.0,0,0,0,3,0
204,0,3,1,45.5,0,0,0,1,0
205,1,3,1,18.0,0,0,0,3,0
206,0,3,0,2.0,0,1,7,3,1
207,0,3,1,32.0,1,0,0,3,1
208,1,3,1,26.0,0,0,0,1,1
209,1,3,0,16.0,0,0,0,2,0
210,1,1,1,40.0,0,0,1,1,3
211,0,3,1,24.0,0,0,0,3,0
212,1,2,0,35.0,0,0,0,3,2
213,0,3,1,22.0,0,0,0,3,0
214,0,2,1,30.0,0,0,0,3,1
215,0,3,1,,1,0,0,2,0
216,1,1,0,31.0,1,0,4,1,11
217,1,3,0,27.0,0,0,0,3,0
218,0,2,1,42.0,1,0,0,3,2
219,1,1,0,32.0,0,0,4,1,7
220,0,2,1,30.0,0,0,0,3,1
221,1,3,1,16.0,0,0,0,3,0
222,0,2,1,27.0,0,0,0,3,1
223,0,3,1,51.0,0,0,0,3,0
224,0,3,1,,0,0,0,3,0
225,1,1,1,38.0,1,0,3,3,9
226,0,3,1,22.0,0,0,0,3,0
227,1,2,1,19.0,0,0,0,3,1
228,0,3,1,20.5,0,0,0,3,0
229,0,2,1,18.0,0,0,0,3,1
230,0,3,0,,3,1,0,3,2
231,1,1,0,35.0,1,0,3,3,8
232,0,3,1,29.0,0,0,0,3,0
233,0,2,1,59.0,0,0,0,3,1
234,1,3,0,5.0,4,2,0,3,3
235,0,2,1,24.0,0,0,0,3,1
236,0,3,0,,0,0,0,3,0
237,0,2,1,44.0,1,0,0,3,2
238,1,2,0,8.0,0,2,0,3,2
239,0,2,1,19.0,0,0,0,3,1
240,0,2,1,33.0,0,0,0,3,1
241,0,3,0,,1,0,0,1,1
242,1,3,0,,1,0,0,2,1
243,0,2,1,29.0,0,0,0,3,1
244,0,3,1,22.0,0,0,0,3,0
245,0,3,1,30.0,0,0,0,1,0
246,0,1,1,44.0,2,0,3,2,9
247,0,3,0,25.0,0,0,0,3,0
248,1,2,0,24.0,0,2,0,3,1
249,1,1,1,37.0,1,1,4,3,5
250,0,2,1,54.0,1,0,0,3,2
251,0,3,1,,0,0,0,3,0
252,0,3,0,29.0,1,1,7,3,1
253,0,1,1,62.0,0,0,3,3,2
254,0,3,1,30.0,1,0,0,3,1
255,0,3,0,41.0,0,2,0,3,2
256,1,3,0,29.0,0,2,0,1,1
257,1,1,0,,0,0,0,1,7
258,1,1,0,30.0,0,0,2,3,8
259,1,1,0,35.0,0,0,0,1,21
260,1,2,0,50.0,0,1,0,3,2
261,0,3,1,,0,0,0,2,0
262,1,3,1,3.0,4,2,0,3,3
263,0,1,1,52.0,1,1,5,3,7
264,0,1,1,40.0,0,0,2,3,0
265,0,3,0,,0,0,0,2,0
266,0,2,1,36.0,0,0,0,3,1
267,0,3,1,16.0,4,1,0,3,3
268,1,3,1,25.0,1,0,0,3,0
269,1,1,0,58.0,0,1,3,3,15
270,1,1,0,35.0,0,0,3,3,13
271,0,1,1,,0,0,0,3,3
272,1,3,1,25.0,0,0,0,3,0
273,1,2,0,41.0,0,1,0,3,1
274,0,1,1,37.0,0,1,3,1,2
275,1,3,0,,0,0,0,2,0
276,1,1,0,63.0,1,0,4,3,7
277,0,3,0,45.0,0,0,0,3,0
278,0,2,1,,0,0,0,3,0
279,0,3,1,7.0,4,1,0,2,2
280,1,3,0,35.0,1,1,0,3,2
281,0,3,1,65.0,0,0,0,2,0
282,0,3,1,28.0,0,0,0,3,0
283,0,3,1,16.0,0,0,0,3,0
284,1,3,1,19.0,0,0,0,3,0
285,0,1,1,,0,0,1,3,2
286,0,3,1,33.0,0,0,0,1,0
287,1,3,1,30.0,0,0,0,3,0
288,0,3,1,22.0,0,0,0,3,0
289,1,2,1,42.0,0,0,0,3,1
290,1,3,0,22.0,0,0,0,2,0
291,1,1,0,26.0,0,0,0,3,7
292,1,1,0,19.0,1,0,2,1,9
293,0,2,1,36.0,0,0,4,1,1
294,0,3,0,24.0,0,0,0,3,0
295,0,3,1,24.0,0,0,0,3,0
296,0,1,1,,0,0,0,1,2
297,0,3,1,23.5,0,0,0,1,0
298,0,1,0,2.0,1,2,3,3,15
299,1,1,1,,0,0,3,3,3
300,1,1,0,50.0,0,1,2,1,19
301,1,3,0,,0,0,0,2,0
302,1,3,1,,2,0,0,2,2
303,0,3,1,19.0,0,0,0,3,0
304,1,2,0,,0,0,5,2,1
305,0,3,1,,0,0,0,3,0
306,1,1,1,0.92,1,2,3,3,15
307,1,1,0,,0,0,0,1,11
308,1,1,0,17.0,1,0,3,1,10
309,0,2,1,30.0,1,0,0,1,2
310,1,1,0,30.0,0,0,5,1,5
311,1,1,0,24.0,0,0,3,1,8
312,1,1,0,18.0,2,2,2,1,20
313,0,2,0,26.0,1,1,0,3,2
314,0,3,1,28.0,0,0,0,3,0
315,0,2,1,43.0,1,1,0,3,2
316,1,3,0,26.0,0,0,0,3,0
317,1,2,0,24.0,1,0,0,3,2
318,0,2,1,54.0,0,0,0,3,1
319,1,1,0,31.0,0,2,3,3,16
320,1,1,0,40.0,1,1,5,1,13
321,0,3,1,22.0,0,0,0,3,0
322,0,3,1,27.0,0,0,0,3,0
323,1,2,0,30.0,0,0,0,2,1
324,1,2,0,22.0,1,1,0,3,2
325,0,3,1,,8,2,0,3,6
326,1,1,0,36.0,0,0,3,1,13
327,0,3,1,61.0,0,0,0,3,0
328,1,2,0,36.0,0,0,4,3,1
329,1,3,0,31.0,1,1,0,3,2
330,1,1,0,16.0,0,1,2,1,5
331,1,3,0,,2,0,0,2,2
332,0,1,1,45.5,0,0,3,3,2
333,0,1,1,38.0,0,1,3,3,15
334,0,3,1,16.0,2,0,0,3,1
335,1,1,0,,1,0,0,3,13
336,0,3,1,,0,0,0,3,0
337,0,1,1,29.0,1,0,3,3,6
338,1,1,0,41.0,0,0,5,1,13
339,1,3,1,45.0,0,0,0,3,0
340,0,1,1,45.0,0,0,8,3,3
341,1,2,1,2.0,1,1,6,3,2
342,1,1,0,24.0,3,2,3,3,20
343,0,2,1,28.0,0,0,0,3,1
344,0,2,1,25.0,0,0,0,3,1
345,0,2,1,36.0,0,0,0,3,1
346,1,2,0,24.0,0,0,6,3,1
347,1,2,0,40.0,0,0,0,3,1
348,1,3,0,,1,0,0,3,1
349,1,3,1,3.0,1,1,0,3,1
350,0,3,1,42.0,0,0,0,3,0
351,0,3,1,23.0,0,0,0,3,0
352,0,1,1,,0,0,3,3,3
353,0,3,1,15.0,1,1,0,1,0
354,0,3,1,25.0,1,0,0,3,1
355,0,3,1,,0,0,0,1,0
356,0,3,1,28.0,0,0,0,3,0
357,1,1,0,22.0,0,1,5,3,5
358,0,2,0,38.0,0,0,0,3,1
359,1,3,0,,0,0,0,2,0
360,1,3,0,,0,0,0,2,0
361,0,3,1,40.0,1,4,0,3,2
362,0,2,1,29.0,1,0,0,1,2
363,0,3,0,45.0,0,1,0,1,1
364,0,3,1,35.0,0,0,0,3,0
365,0,3,1,,1,0,0,2,1
366,0,3,1,30.0,0,0,0,3,0
367,1,1,0,60.0,1,0,4,1,7
368,1,3,0,,0,0,0,1,0
369,1,3,0,,0,0,0,2,0
370,1,1,0,24.0,0,0,2,1,6
371,1,1,1,25.0,1,0,5,1,5
372,0,3,1,18.0,1,0,0,3,0
373,0,3,1,19.0,0,0,0,3,0
374,0,1,1,22.0,0,0,0,1,13
375,0,3,0,3.0,3,1,0,3,2
376,1,1,0,,1,0,0,1,8
377,1,3,0,22.0,0,0,0,3,0
378,0,1,1,27.0,0,2,3,1,17
379,0,3,1,20.0,0,0,0,1,0
380,0,3,1,19.0,0,0,0,3,0
381,1,1,0,42.0,0,0,0,1,18
382,1,3,0,1.0,0,2,0,1,1
383,0,3,1,32.0,0,0,0,3,0
384,1,1,0,35.0,1,0,0,3,5
385,0,3,1,,0,0,0,3,0
386,0,2,1,18.0,0,0,0,3,7
387,0,3,1,1.0,5,2,0,3,4
388,1,2,0,36.0,0,0,0,3,1
389,0,3,1,,0,0,0,2,0
390,1,2,0,17.0,0,0,0,1,1
391,1,1,1,36.0,1,2,2,3,12
392,1,3,1,21.0,0,0,0,3,0
393,0,3,1,28.0,2,0,0,3,0
394,1,1,0,23.0,1,0,4,1,11
395,1,3,0,24.0,0,2,7,3,1
396,0,3,1,22.0,0,0,0,3,0
397,0,3,0,31.0,0,0,0,3,0
398,0,2,1,46.0,0,0,0,3,2
399,0,2,1,23.0,0,0,0,3,1
400,1,2,0,28.0,0,0,0,3,1
401,1,3,1,39.0,0,0,0,3,0
402,0,3,1,26.0,0,0,0,3,0
403,0,3,0,21.0,1,0,0,3,0
404,0,3,1,28.0,1,0,0,3,1
405,0,3,0,20.0,0,0,0,3,0
406,0,2,1,34.0,1,0,0,3,2
407,0,3,1,51.0,0,0,0,3,0
408,1,2,1,3.0,1,1,0,3,1
409,0,3,1,21.0,0,0,0,3,0
410,0,3,0,,3,1,0,3,2
411,0,3,1,,0,0,0,3,0
412,0,3,1,,0,0,0,2,0
413,1,1,0,33.0,1,0,3,2,9
414,0,2,1,,0,0,0,3,0
415,1,3,1,44.0,0,0,0,3,0
416,0,3,0,,0,0,0,3,0
417,1,2,0,34.0,1,1,0,3,3
418,1,2,0,18.0,0,2,0,3,1
419,0,2,1,30.0,0,0,0,3,1
420,0,3,0,10.0,0,2,0,3,2
421,0,3,1,,0,0,0,1,0
422,0,3,1,21.0,0,0,0,2,0
423,0,3,1,29.0,0,0,0,3,0
424,0,3,0,28.0,1,1,0,3,1
425,0,3,1,18.0,1,1,0,3,2
426,0,3,1,,0,0,0,3,0
427,1,2,0,28.0,1,0,0,3,2
428,1,2,0,19.0,0,0,0,3,2
429,0,3,1,,0,0,0,2,0
430,1,3,1,32.0,0,0,5,3,0
431,1,1,1,28.0,0,0,3,3,2
432,1,3,0,,1,0,0,3,1
433,1,2,0,42.0,1,0,0,3,2
434,0,3,1,17.0,0,0,0,3,0
435,0,1,1,50.0,1,0,5,3,5
436,1,1,0,14.0,1,2,2,3,12
437,0,3,0,21.0,2,2,0,3,3
438,1,2,0,24.0,2,3,0,3,1
439,0,1,1,64.0,1,4,3,3,20
440,0,2,1,31.0,0,0,0,3,1
441,1,2,0,45.0,1,1,0,3,2
442,0,3,1,20.0,0,0,0,3,0
443,0,3,1,25.0,1,0,0,3,0
444,1,2,0,28.0,0,0,0,3,1
445,1,3,1,,0,0,0,3,0
446,1,1,1,4.0,0,2,1,3,8
447,1,2,0,13.0,0,1,0,3,1
448,1,1,1,34.0,0,0,0,3,2
449,1,3,0,5.0,2,1,0,1,1
450,1,1,1,52.0,0,0,3,3,3
451,0,2,1,36.0,1,2,0,3,2
452,0,3,1,,1,0,0,3,1
453,0,1,1,30.0,0,0,3,1,2
454,1,1,1,49.0,1,0,3,1,8
455,0,3,1,,0,0,0,3,0
456,1,3,1,29.0,0,0,0,1,0
457,0,1,1,65.0,0,0,5,3,2
458,1,1,0,,1,0,4,3,5
459,1,2,0,50.0,0,0,0,3,1
460,0,3,1,,0,0,0,2,0
461,1,1,1,48.0,0,0,5,3,2
462,0,3,1,34.0,0,0,0,3,0
463,0,1,1,47.0,0,0,5,3,3
464,0,2,1,48.0,0,0,0,3,1
465,0,3,1,,0,0,0,3,0
466,0,3,1,38.0,0,0,0,3,0
467,0,2,1,,0,0,0,3,0
468,0,1,1,56.0,0,0,0,3,2
469,0,3,1,,0,0,0,2,0
470,1,3,0,0.75,2,1,0,1,1
471,0,3,1,,0,0,0,3,0
472,0,3,1,38.0,0,0,0,3,0
473,1,2,0,33.0,1,2,0,3,2
474,1,2,0,23.0,0,0,4,1,1
475,0,3,0,22.0,0,0,0,3,0
476,0,1,1,,0,0,1,3,5
477,0,2,1,34.0,1,0,0,3,2
478,0,3,1,29.0,1,0,0,3,0
479,0,3,1,22.0,0,0,0,3,0
480,1,3,0,2.0,0,1,0,3,1
481,0,3,1,9.0,5,2,0,3,4
482,0,2,1,,0,0,0,3,0
483,0,3,1,50.0,0,0,0,3,0
484,1,3,0,63.0,0,0,0,3,0
485,1,1,1,25.0,1,0,2,1,9
486,0,3,0,,3,1,0,3,2
487,1,1,0,35.0,1,0,3,3,9
488,0,1,1,58.0,0,0,2,1,2
489,0,3,1,30.0,0,0,0,3,0
490,1,3,1,9.0,1,1,0,3,1
491,0,3,1,,1,0,0,3,1
492,0,3,1,21.0,0,0,0,3,0
493,0,1,1,55.0,0,0,3,3,3
494,0,1,1,71.0,0,0,0,1,4
495,0,3,1,21.0,0,0,0,3,0
496,0,3,1,,0,0,0,1,1
497,1,1,0,54.0,1,0,4,1,7
498,0,3,1,,0,0,0,3,1
499,0,1,0,25.0,1,2,3,3,15
500,0,3,1,24.0,0,0,0,3,0
501,0,3,1,17.0,0,0,0,3,0
502,0,3,0,21.0,0,0,0,2,0
503,0,3,0,,0,0,0,2,0
504,0,3,0,37.0,0,0,0,3,0
505,1,1,0,16.0,0,0,2,3,8
506,0,1,1,18.0,1,0,3,1,10
507,1,2,0,33.0,0,2,0,3,2
508,1,1,1,,0,0,0,3,2
509,0,3,1,28.0,0,0,0,3,2
510,1,3,1,26.0,0,0,0,3,5
511,1,3,1,29.0,0,0,0,2,0
512,0,3,1,,0,0,0,3,0
513,1,1,1,36.0,0,0,5,3,2
514,1,1,0,54.0,1,0,0,1,5
515,0,3,1,24.0,0,0,0,3,0
516,0,1,1,47.0,0,0,4,3,3
517,1,2,0,34.0,0,0,6,3,1
518,0,3,1,,0,0,0,2,2
519,1,2,0,36.0,1,0,0,3,2
520,0,3,1,32.0,0,0,0,3,0
521,1,1,0,30.0,0,0,2,3,9
522,0,3,1,22.0,0,0,0,3,0
523,0,3,1,,0,0,0,1,0
524,1,1,0,44.0,0,1,2,1,5
525,0,3,1,,0,0,0,1,0
526,0,3,1,40.5,0,0,0,2,0
527,1,2,0,50.0,0,0,0,3,1
528,0,1,1,,0,0,3,3,18
529,0,3,1,39.0,0,0,0,3,0
530,0,2,1,23.0,2,1,0,3,1
531,1,2,0,2.0,1,1,0,3,2
532,0,3,1,,0,0,0,1,0
533,0,3,1,17.0,1,1,0,1,0
534,1,3,0,,0,2,0,1,2
535,0,3,0,30.0,0,0,0,3,0
536,1,2,0,7.0,0,2,0,3,2
537,0,1,1,45.0,0,0,2,3,2
538,1,1,0,30.0,0,0,0,1,10
539,0,3,1,,0,0,0,3,1
540,1,1,0,22.0,0,2,2,1,4
541,1,1,0,36.0,0,2,2,3,7
542,0,3,0,9.0,4,2,0,3,3
543,0,3,0,11.0,4,2,0,3,3
544,1,2,1,32.0,1,0,0,3,2
545,0,1,1,50.0,1,0,3,1,10
546,0,1,1,64.0,0,0,0,3,2
547,1,2,0,19.0,1,0,0,3,2
548,1,2,1,,0,0,0,1,1
549,0,3,1,33.0,1,1,0,3,2
550,1,2,1,8.0,1,1,0,3,3
551,1,1,1,17.0,0,2,3,1,11
552,0,2,1,27.0,0,0,0,3,2
553,0,3,1,,0,0,0,2,0
554,1,3,1,22.0,0,0,0,1,0
555,1,3,0,22.0,0,0,0,3,0
556,0,1,1,62.0,0,0,0,3,2
557,1,1,0,48.0,1,0,1,1,3
558,0,1,1,,0,0,0,1,18
559,1,1,0,39.0,1,1,5,3,7
560,1,3,0,36.0,1,0,0,3,1
561,0,3,1,,0,0,0,2,0
562,0,3,1,40.0,0,0,0,3,0
563,0,2,1,28.0,0,0,0,3,1
564,0,3,1,,0,0,0,3,0
565,0,3,0,,0,0,0,3,0
566,0,3,1,24.0,2,0,0,3,2
567,0,3,1,19.0,0,0,0,3,0
568,0,3,0,29.0,0,4,0,3,2
569,0,3,1,,0,0,0,1,0
570,1,3,1,32.0,0,0,0,3,0
571,1,2,1,62.0,0,0,0,3,1
572,1,1,0,53.0,2,0,3,3,5
573,1,1,1,36.0,0,0,5,3,2
574,1,3,0,,0,0,0,2,0
575,0,3,1,16.0,0,0,0,3,0
576,0,3,1,19.0,0,0,0,3,1
577,1,2,0,34.0,0,0,0,3,1
578,1,1,0,39.0,1,0,5,3,5
579,0,3,0,,1,0,0,1,1
580,1,3,1,32.0,0,0,0,3,0
581,1,2,0,25.0,1,1,0,3,3
582,1,1,0,39.0,1,1,3,1,11
583,0,2,1,54.0,0,0,0,3,2
584,0,1,1,36.0,0,0,1,1,4
585,0,3,1,,0,0,0,1,0
586,1,1,0,18.0,0,2,5,3,7
587,0,2,1,47.0,0,0,0,3,1
588,1,1,1,60.0,1,1,2,1,7
589,0,3,1,22.0,0,0,0,3,0
590,0,3,1,,0,0,0,3,0
591,0,3,1,35.0,0,0,0,3,0
592,1,1,0,52.0,1,0,4,1,7
593,0,3,1,47.0,0,0,0,3,0
594,0,3,0,,0,2,0,2,0
595,0,2,1,37.0,1,0,0,3,2
596,0,3,1,36.0,1,1,0,3,2
597,1,2,0,,0,0,0,3,3
598,0,3,1,49.0,0,0,0,3,0
599,0,3,1,,0,0,0,1,0
600,1,1,1,49.0,1,0,1,1,5
601,1,2,0,24.0,2,1,0,3,2
602,0,3,1,,0,0,0,3,0
603,0,1,1,,0,0,0,3,4
604,0,3,1,44.0,0,0,0,3,0
605,1,1,1,35.0,0,0,0,1,2
606,0,3,1,36.0,1,0,0,3,1
607,0,3,1,30.0,0,0,0,3,0
608,1,1,1,27.0,0,0,0,3,3
609,1,2,0,22.0,1,2,0,1,4
610,1,1,0,40.0,0,0,3,3,15
611,0,3,0,39.0,1,5,0,3,3
612,0,3,1,,0,0,0,3,0
613,1,3,0,,1,0,0,2,1
614,0,3,1,,0,0,0,2,0
615,0,3,1,35.0,0,0,0,3,0
616,1,2,0,24.0,1,2,0,3,6
617,0,3,1,34.0,1,1,0,3,1
618,0,3,0,26.0,1,0,0,3,1
619,1,2,0,4.0,2,1,6,3,3
620,0,2,1,26.0,0,0,0,3,1
621,0,3,1,27.0,1,0,0,1,1
622,1,1,1,42.0,1,0,4,3,5
623,1,3,1,20.0,1,1,0,1,1
624,0,3,1,21.0,0,0,0,3,0
625,0,3,1,21.0,0,0,0,3,1
626,0,1,1,61.0,0,0,4,3,3
627,0,2,1,57.0,0,0,0,2,1
628,1,1,0,21.0,0,0,4,3,7
629,0,3,1,26.0,0,0,0,3,0
630,0,3,1,,0,0,0,2,0
631,1,1,1,80.0,0,0,1,3,3
632,0,3,1,51.0,0,0,0,3,0
633,1,1,1,32.0,0,0,2,1,3
634,0,1,1,,0,0,0,3,0
635,0,3,0,9.0,3,2,0,3,2
636,1,2,0,28.0,0,0,0,3,1
637,0,3,1,32.0,0,0,0,3,0
638,0,2,1,31.0,1,1,0,3,2
639,0,3,0,41.0,0,5,0,3,3
640,0,3,1,,1,0,0,3,1
641,0,3,1,20.0,0,0,0,3,0
642,1,1,0,24.0,0,0,2,1,6
643,0,3,0,2.0,3,2,0,3,2
644,1,3,1,,0,0,0,3,5
645,1,3,0,0.75,2,1,0,1,1
646,1,1,1,48.0,1,0,4,1,7
647,0,3,1,19.0,0,0,0,3,0
648,1,1,1,56.0,0,0,1,1,3
649,0,3,1,,0,0,0,3,0
650,1,3,0,23.0,0,0,0,3,0
