PassengerId,Survived,Pclass,Sex,SibSp,Parch,Cabin,Embarked,Fareplus,Ageplus
62,1,1,0,0,0,2,0,8,3
63,0,1,1,1,0,3,3,8,4
64,0,3,1,3,2,0,3,2,0
65,0,1,1,0,0,0,1,2,5
66,1,3,1,1,1,0,1,1,3
67,1,2,0,0,0,6,3,1,2
68,0,3,1,0,0,0,3,0,1
69,1,3,0,4,2,0,3,0,1
70,0,3,1,2,0,0,3,0,2
71,0,2,1,0,0,0,3,1,3
72,0,3,0,5,2,0,3,4,1
73,0,2,1,0,0,0,3,7,2
74,0,3,1,1,0,0,1,1,2
75,1,3,1,0,0,0,3,5,3
76,0,3,1,0,0,6,3,0,2
77,0,3,1,0,0,0,3,0,4
78,0,3,1,0,0,0,3,0,3
79,1,2,1,0,2,0,3,2,0
80,1,3,0,0,0,0,3,1,3
81,0,3,1,0,0,0,3,0,2
82,1,3,1,0,0,0,3,0,2
83,1,3,0,0,0,0,2,0,4
84,0,1,1,0,0,0,3,4,2
85,1,2,0,0,0,0,3,1,1
86,1,3,0,3,0,0,3,1,3
87,0,3,1,1,3,0,3,3,1
88,0,3,1,0,0,0,3,0,3
89,1,1,0,3,2,3,3,20,2
90,0,3,1,0,0,0,3,0,2
91,0,3,1,0,0,0,3,0,2
92,0,3,1,0,0,0,3,0,2
93,0,1,1,1,0,5,3,6,4
94,0,3,1,1,2,0,3,2,2
95,0,3,1,0,0,0,3,0,5
96,0,3,1,0,0,0,3,0,3
97,0,1,1,0,0,1,1,3,7
98,1,1,1,0,1,4,1,6,2
99,1,2,0,0,1,0,3,2,3
100,0,2,1,1,0,0,3,2,3
101,0,3,0,0,0,0,3,0,2
102,0,3,1,0,0,0,3,0,4
103,0,1,1,0,1,4,3,7,2
104,0,3,1,0,0,0,3,0,3
105,0,3,1,2,0,0,3,0,3
106,0,3,1,0,0,0,3,0,2
107,1,3,0,0,0,0,3,0,2
108,1,3,1,0,0,0,3,0,3
109,0,3,1,0,0,0,3,0,3
110,1,3,0,1,0,0,2,2,4
111,0,1,1,0,0,3,3,5,4
112,0,3,0,1,0,0,1,1,1
113,0,3,1,0,0,0,3,0,2
114,0,3,0,1,0,0,3,0,2
115,0,3,0,0,0,0,1,1,1
116,0,3,1,0,0,0,3,0,2
117,0,3,1,0,0,0,2,0,7
118,0,2,1,1,0,0,3,2,2
119,0,1,1,0,1,2,1,19,2
120,0,3,0,4,2,0,3,3,0
121,0,2,1,2,0,0,3,7,2
122,0,3,1,0,0,0,3,0,5
123,0,2,1,1,0,0,1,3,3
124,1,2,0,0,0,5,3,1,3
125,0,1,1,0,1,4,3,7,5
126,1,3,1,1,0,0,1,1,1
127,0,3,1,0,0,0,2,0,5
128,1,3,1,0,0,0,3,0,2
129,1,3,0,1,1,6,1,2,5
130,0,3,1,0,0,0,3,0,4
131,0,3,1,0,0,0,1,0,3
132,0,3,1,0,0,0,3,0,2
133,0,3,0,1,0,0,3,1,4
134,1,2,0,1,0,0,3,2,2
135,0,2,1,0,0,0,3,1,2
136,0,2,1,0,0,0,1,1,2
137,1,1,0,0,2,4,3,2,1
138,0,1,1,1,0,3,3,5,3
139,0,3,1,0,0,0,3,0,1
140,0,1,1,0,0,2,1,7,2
141,0,3,0,0,2,0,1,1,4
142,1,3,0,0,0,0,3,0,2
143,1,3,0,1,0,0,3,1,2
144,0,3,1,0,0,0,2,0,1
145,0,2,1,0,0,0,3,1,1
146,0,2,1,1,1,0,3,3,1
147,1,3,1,0,0,0,3,0,2
148,0,3,0,2,2,0,3,3,0
149,0,2,1,0,2,6,3,2,3
150,0,2,1,0,0,0,3,1,4
151,0,2,1,0,0,0,3,1,5
152,1,1,0,1,0,3,3,6,2
153,0,3,1,0,0,0,3,0,5
154,0,3,1,0,2,0,3,1,4
155,0,3,1,0,0,0,3,0,5
156,0,1,1,0,1,0,1,6,5
157,1,3,0,0,0,0,2,0,1
158,0,3,1,0,0,0,3,0,3
159,0,3,1,0,0,0,3,0,3
160,0,3,1,8,2,0,3,6,5
161,0,3,1,0,1,0,3,1,4
162,1,2,0,0,0,0,3,1,4
163,0,3,1,0,0,0,3,0,2
164,0,3,1,0,0,0,3,0,1
165,0,3,1,4,1,0,3,3,0
166,1,3,1,0,2,0,3,2,0
167,1,1,0,0,1,5,3,5,5
168,0,3,0,1,4,0,3,2,4
169,0,1,1,0,0,0,3,2,5
170,0,3,1,0,0,0,3,5,2
171,0,1,1,0,0,2,3,3,6
172,0,3,1,4,1,0,2,2,0
173,1,3,0,1,1,0,3,1,0
174,0,3,1,0,0,0,3,0,2
175,0,1,1,0,0,1,1,3,5
176,0,3,1,1,1,0,3,0,1
177,0,3,1,3,1,0,3,2,5
178,0,1,0,0,0,3,1,2,5
179,0,2,1,0,0,0,3,1,3
180,0,3,1,0,0,0,3,0,3
181,0,3,0,8,2,0,3,6,4
182,0,2,1,0,0,0,1,1,3
183,0,3,1,4,2,0,3,3,0
184,1,2,1,2,1,6,3,3,0
185,1,3,0,0,2,0,3,2,0
186,0,1,1,0,0,1,3,5,5
187,1,3,0,1,0,0,2,1,5
188,1,1,1,0,0,0,3,2,4
189,0,3,1,1,1,0,2,1,4
190,0,3,1,0,0,0,3,0,3
191,1,2,0,0,0,0,3,1,3
192,0,2,1,0,0,0,3,1,1
193,1,3,0,1,0,0,3,0,1
194,1,2,1,1,1,6,3,2,0
195,1,1,0,0,0,2,1,2,4
196,1,1,0,0,0,2,1,14,5
197,0,3,1,0,0,0,2,0,3
198,0,3,1,0,1,0,3,0,4
199,1,3,0,0,0,0,2,0,4
200,0,2,0,0,0,0,3,1,2
201,0,3,1,0,0,0,3,0,2
202,0,3,1,8,2,0,3,6,5
203,0,3,1,0,0,0,3,0,3
204,0,3,1,0,0,0,1,0,4
205,1,3,1,0,0,0,3,0,1
206,0,3,0,0,1,7,3,1,0
207,0,3,1,1,0,0,3,1,3
208,1,3,1,0,0,0,1,1,2
209,1,3,0,0,0,0,2,0,1
210,1,1,1,0,0,1,1,3,4
211,0,3,1,0,0,0,3,0,2
212,1,2,0,0,0,0,3,2,3
213,0,3,1,0,0,0,3,0,2
214,0,2,1,0,0,0,3,1,3
215,0,3,1,1,0,0,2,0,4
216,1,1,0,1,0,4,1,11,3
217,1,3,0,0,0,0,3,0,2
218,0,2,1,1,0,0,3,2,4
219,1,1,0,0,0,4,1,7,3
220,0,2,1,0,0,0,3,1,3
221,1,3,1,0,0,0,3,0,1
222,0,2,1,0,0,0,3,1,2
223,0,3,1,0,0,0,3,0,5
224,0,3,1,0,0,0,3,0,4
225,1,1,1,1,0,3,3,9,3
226,0,3,1,0,0,0,3,0,2
227,1,2,1,0,0,0,3,1,1
228,0,3,1,0,0,0,3,0,2
229,0,2,1,0,0,0,3,1,1
230,0,3,0,3,1,0,3,2,4
231,1,1,0,1,0,3,3,8,3
232,0,3,1,0,0,0,3,0,2
233,0,2,1,0,0,0,3,1,5
234,1,3,0,4,2,0,3,3,0
235,0,2,1,0,0,0,3,1,2
236,0,3,0,0,0,0,3,0,3
237,0,2,1,1,0,0,3,2,4
238,1,2,0,0,2,0,3,2,0
239,0,2,1,0,0,0,3,1,1
240,0,2,1,0,0,0,3,1,3
241,0,3,0,1,0,0,1,1,4
242,1,3,0,1,0,0,2,1,3
243,0,2,1,0,0,0,3,1,2
244,0,3,1,0,0,0,3,0,2
245,0,3,1,0,0,0,1,0,3
246,0,1,1,2,0,3,2,9,4
247,0,3,0,0,0,0,3,0,2
248,1,2,0,0,2,0,3,1,2
249,1,1,1,1,1,4,3,5,3
250,0,2,1,1,0,0,3,2,5
251,0,3,1,0,0,0,3,0,4
252,0,3,0,1,1,7,3,1,2
253,0,1,1,0,0,3,3,2,6
254,0,3,1,1,0,0,3,1,3
255,0,3,0,0,2,0,3,2,4
256,1,3,0,0,2,0,1,1,2
257,1,1,0,0,0,0,1,7,4
258,1,1,0,0,0,2,3,8,3
259,1,1,0,0,0,0,1,21,3
260,1,2,0,0,1,0,3,2,5
261,0,3,1,0,0,0,2,0,3
262,1,3,1,4,2,0,3,3,0
263,0,1,1,1,1,5,3,7,5
264,0,1,1,0,0,2,3,0,4
265,0,3,0,0,0,0,2,0,5
266,0,2,1,0,0,0,3,1,3
267,0,3,1,4,1,0,3,3,1
268,1,3,1,1,0,0,3,0,2
269,1,1,0,0,1,3,3,15,5
270,1,1,0,0,0,3,3,13,3
271,0,1,1,0,0,0,3,3,4
272,1,3,1,0,0,0,3,0,2
273,1,2,0,0,1,0,3,1,4
274,0,1,1,0,1,3,1,2,3
275,1,3,0,0,0,0,2,0,3
276,1,1,0,1,0,4,3,7,6
277,0,3,0,0,0,0,3,0,4
278,0,2,1,0,0,0,3,0,5
279,0,3,1,4,1,0,2,2,0
280,1,3,0,1,1,0,3,2,3
281,0,3,1,0,0,0,2,0,6
282,0,3,1,0,0,0,3,0,2
283,0,3,1,0,0,0,3,0,1
284,1,3,1,0,0,0,3,0,1
285,0,1,1,0,0,1,3,2,5
286,0,3,1,0,0,0,1,0,3
287,1,3,1,0,0,0,3,0,3
288,0,3,1,0,0,0,3,0,2
289,1,2,1,0,0,0,3,1,4
290,1,3,0,0,0,0,2,0,2
291,1,1,0,0,0,0,3,7,2
292,1,1,0,1,0,2,1,9,1
293,0,2,1,0,0,4,1,1,3
294,0,3,0,0,0,0,3,0,2
295,0,3,1,0,0,0,3,0,2
296,0,1,1,0,0,0,1,2,6
297,0,3,1,0,0,0,1,0,2
298,0,1,0,1,2,3,3,15,0
299,1,1,1,0,0,3,3,3,3
300,1,1,0,0,1,2,1,19,5
301,1,3,0,0,0,0,2,0,3
302,1,3,1,2,0,0,2,2,3
303,0,3,1,0,0,0,3,0,1
304,1,2,0,0,0,5,2,1,4
305,0,3,1,0,0,0,3,0,3
306,1,1,1,1,2,3,3,15,0
307,1,1,0,0,0,0,1,11,4
308,1,1,0,1,0,3,1,10,1
309,0,2,1,1,0,0,1,2,3
310,1,1,0,0,0,5,1,5,3
311,1,1,0,0,0,3,1,8,2
312,1,1,0,2,2,2,1,20,1
313,0,2,0,1,1,0,3,2,2
314,0,3,1,0,0,0,3,0,2
315,0,2,1,1,1,0,3,2,4
316,1,3,0,0,0,0,3,0,2
317,1,2,0,1,0,0,3,2,2
318,0,2,1,0,0,0,3,1,5
319,1,1,0,0,2,3,3,16,3
320,1,1,0,1,1,5,1,13,4
321,0,3,1,0,0,0,3,0,2
322,0,3,1,0,0,0,3,0,2
323,1,2,0,0,0,0,2,1,3
324,1,2,0,1,1,0,3,2,2
325,0,3,1,8,2,0,3,6,4
326,1,1,0,0,0,3,1,13,3
327,0,3,1,0,0,0,3,0,6
328,1,2,0,0,0,4,3,1,3
329,1,3,0,1,1,0,3,2,3
330,1,1,0,0,1,2,1,5,1
331,1,3,0,2,0,0,2,2,4
332,0,1,1,0,0,3,3,2,4
333,0,1,1,0,1,3,3,15,3
334,0,3,1,2,0,0,3,1,1
335,1,1,0,1,0,0,3,13,5
336,0,3,1,0,0,0,3,0,4
337,0,1,1,1,0,3,3,6,2
338,1,1,0,0,0,5,1,13,4
339,1,3,1,0,0,0,3,0,4
340,0,1,1,0,0,8,3,3,4
341,1,2,1,1,1,6,3,2,0
342,1,1,0,3,2,3,3,20,2
343,0,2,1,0,0,0,3,1,2
344,0,2,1,0,0,0,3,1,2
345,0,2,1,0,0,0,3,1,3
346,1,2,0,0,0,6,3,1,2
347,1,2,0,0,0,0,3,1,4
348,1,3,0,1,0,0,3,1,4
349,1,3,1,1,1,0,3,1,0
350,0,3,1,0,0,0,3,0,4
351,0,3,1,0,0,0,3,0,2
352,0,1,1,0,0,3,3,3,4
353,0,3,1,1,1,0,1,0,1
354,0,3,1,1,0,0,3,1,2
355,0,3,1,0,0,0,1,0,4
356,0,3,1,0,0,0,3,0,2
357,1,1,0,0,1,5,3,5,2
358,0,2,0,0,0,0,3,1,3
359,1,3,0,0,0,0,2,0,3
360,1,3,0,0,0,0,2,0,5
361,0,3,1,1,4,0,3,2,4
362,0,2,1,1,0,0,1,2,2
363,0,3,0,0,1,0,1,1,4
364,0,3,1,0,0,0,3,0,3
365,0,3,1,1,0,0,2,1,3
366,0,3,1,0,0,0,3,0,3
367,1,1,0,1,0,4,1,7,6
368,1,3,0,0,0,0,1,0,4
369,1,3,0,0,0,0,2,0,3
370,1,1,0,0,0,2,1,6,2
371,1,1,1,1,0,5,1,5,2
372,0,3,1,1,0,0,3,0,1
373,0,3,1,0,0,0,3,0,1
374,0,1,1,0,0,0,1,13,2
375,0,3,0,3,1,0,3,2,0
376,1,1,0,1,0,0,1,8,5
377,1,3,0,0,0,0,3,0,2
378,0,1,1,0,2,3,1,17,2
379,0,3,1,0,0,0,1,0,2
380,0,3,1,0,0,0,3,0,1
381,1,1,0,0,0,0,1,18,4
382,1,3,0,0,2,0,1,1,0
383,0,3,1,0,0,0,3,0,3
384,1,1,0,1,0,0,3,5,3
385,0,3,1,0,0,0,3,0,5
386,0,2,1,0,0,0,3,7,1
387,0,3,1,5,2,0,3,4,0
388,1,2,0,0,0,0,3,1,3
389,0,3,1,0,0,0,2,0,5
390,1,2,0,0,0,0,1,1,1
391,1,1,1,1,2,2,3,12,3
392,1,3,1,0,0,0,3,0,2
393,0,3,1,2,0,0,3,0,2
394,1,1,0,1,0,4,1,11,2
395,1,3,0,0,2,7,3,1,2
396,0,3,1,0,0,0,3,0,2
397,0,3,0,0,0,0,3,0,3
398,0,2,1,0,0,0,3,2,4
399,0,2,1,0,0,0,3,1,2
400,1,2,0,0,0,0,3,1,2
401,1,3,1,0,0,0,3,0,3
402,0,3,1,0,0,0,3,0,2
403,0,3,0,1,0,0,3,0,2
404,0,3,1,1,0,0,3,1,2
405,0,3,0,0,0,0,3,0,2
406,0,2,1,1,0,0,3,2,3
407,0,3,1,0,0,0,3,0,5
408,1,2,1,1,1,0,3,1,0
409,0,3,1,0,0,0,3,0,2
410,0,3,0,3,1,0,3,2,3
411,0,3,1,0,0,0,3,0,3
412,0,3,1,0,0,0,2,0,3
413,1,1,0,1,0,3,2,9,3
414,0,2,1,0,0,0,3,0,4
415,1,3,1,0,0,0,3,0,4
416,0,3,0,0,0,0,3,0,4
417,1,2,0,1,1,0,3,3,3
418,1,2,0,0,2,0,3,1,1
419,0,2,1,0,0,0,3,1,3
420,0,3,0,0,2,0,3,2,1
421,0,3,1,0,0,0,1,0,3
422,0,3,1,0,0,0,2,0,2
423,0,3,1,0,0,0,3,0,2
424,0,3,0,1,1,0,3,1,2
425,0,3,1,1,1,0,3,2,1
426,0,3,1,0,0,0,3,0,4
427,1,2,0,1,0,0,3,2,2
428,1,2,0,0,0,0,3,2,1
429,0,3,1,0,0,0,2,0,4
430,1,3,1,0,0,5,3,0,3
431,1,1,1,0,0,3,3,2,2
432,1,3,0,1,0,0,3,1,5
433,1,2,0,1,0,0,3,2,4
434,0,3,1,0,0,0,3,0,1
435,0,1,1,1,0,5,3,5,5
436,1,1,0,1,2,2,3,12,1
437,0,3,0,2,2,0,3,3,2
438,1,2,0,2,3,0,3,1,2
439,0,1,1,1,4,3,3,20,6
440,0,2,1,0,0,0,3,1,3
441,1,2,0,1,1,0,3,2,4
442,0,3,1,0,0,0,3,0,2
443,0,3,1,1,0,0,3,0,2
444,1,2,0,0,0,0,3,1,2
445,1,3,1,0,0,0,3,0,5
446,1,1,1,0,2,1,3,8,0
447,1,2,0,0,1,0,3,1,1
448,1,1,1,0,0,0,3,2,3
449,1,3,0,2,1,0,1,1,0
450,1,1,1,0,0,3,3,3,5
451,0,2,1,1,2,0,3,2,3
452,0,3,1,1,0,0,3,1,4
453,0,1,1,0,0,3,1,2,3
454,1,1,1,1,0,3,1,8,4
455,0,3,1,0,0,0,3,0,3
456,1,3,1,0,0,0,1,0,2
457,0,1,1,0,0,5,3,2,6
458,1,1,0,1,0,4,3,5,5
459,1,2,0,0,0,0,3,1,5
460,0,3,1,0,0,0,2,0,4
461,1,1,1,0,0,5,3,2,4
462,0,3,1,0,0,0,3,0,3
463,0,1,1,0,0,5,3,3,4
464,0,2,1,0,0,0,3,1,4
465,0,3,1,0,0,0,3,0,5
466,0,3,1,0,0,0,3,0,3
467,0,2,1,0,0,0,3,0,3
468,0,1,1,0,0,0,3,2,5
469,0,3,1,0,0,0,2,0,5
470,1,3,0,2,1,0,1,1,0
471,0,3,1,0,0,0,3,0,5
472,0,3,1,0,0,0,3,0,3
473,1,2,0,1,2,0,3,2,3
474,1,2,0,0,0,4,1,1,2
475,0,3,0,0,0,0,3,0,2
476,0,1,1,0,0,1,3,5,4
477,0,2,1,1,0,0,3,2,3
478,0,3,1,1,0,0,3,0,2
479,0,3,1,0,0,0,3,0,2
480,1,3,0,0,1,0,3,1,0
481,0,3,1,5,2,0,3,4,0
482,0,2,1,0,0,0,3,0,5
483,0,3,1,0,0,0,3,0,5
484,1,3,0,0,0,0,3,0,6
485,1,1,1,1,0,2,1,9,2
486,0,3,0,3,1,0,3,2,5
487,1,1,0,1,0,3,3,9,3
488,0,1,1,0,0,2,1,2,5
489,0,3,1,0,0,0,3,0,3
490,1,3,1,1,1,0,3,1,0
491,0,3,1,1,0,0,3,1,3
492,0,3,1,0,0,0,3,0,2
493,0,1,1,0,0,3,3,3,5
494,0,1,1,0,0,0,1,4,7
495,0,3,1,0,0,0,3,0,2
496,0,3,1,0,0,0,1,1,4
497,1,1,0,1,0,4,1,7,5
498,0,3,1,0,0,0,3,1,3
499,0,1,0,1,2,3,3,15,2
500,0,3,1,0,0,0,3,0,2
501,0,3,1,0,0,0,3,0,1
502,0,3,0,0,0,0,2,0,2
503,0,3,0,0,0,0,2,0,4
504,0,3,0,0,0,0,3,0,3
505,1,1,0,0,0,2,3,8,1
506,0,1,1,1,0,3,1,10,1
507,1,2,0,0,2,0,3,2,3
508,1,1,1,0,0,0,3,2,3
509,0,3,1,0,0,0,3,2,2
510,1,3,1,0,0,0,3,5,2
511,1,3,1,0,0,0,2,0,2
512,0,3,1,0,0,0,3,0,3
513,1,1,1,0,0,5,3,2,3
514,1,1,0,1,0,0,1,5,5
515,0,3,1,0,0,0,3,0,2
516,0,1,1,0,0,4,3,3,4
517,1,2,0,0,0,6,3,1,3
518,0,3,1,0,0,0,2,2,5
519,1,2,0,1,0,0,3,2,3
520,0,3,1,0,0,0,3,0,3
521,1,1,0,0,0,2,3,9,3
522,0,3,1,0,0,0,3,0,2
523,0,3,1,0,0,0,1,0,4
524,1,1,0,0,1,2,1,5,4
525,0,3,1,0,0,0,1,0,5
526,0,3,1,0,0,0,2,0,4
527,1,2,0,0,0,0,3,1,5
528,0,1,1,0,0,3,3,18,6
529,0,3,1,0,0,0,3,0,3
530,0,2,1,2,1,0,3,1,2
531,1,2,0,1,1,0,3,2,0
532,0,3,1,0,0,0,1,0,5
533,0,3,1,1,1,0,1,0,1
534,1,3,0,0,2,0,1,2,3
535,0,3,0,0,0,0,3,0,3
536,1,2,0,0,2,0,3,2,0
537,0,1,1,0,0,2,3,2,4
538,1,1,0,0,0,0,1,10,3
539,0,3,1,0,0,0,3,1,6
540,1,1,0,0,2,2,1,4,2
541,1,1,0,0,2,2,3,7,3
542,0,3,0,4,2,0,3,3,0
543,0,3,0,4,2,0,3,3,1
544,1,2,1,1,0,0,3,2,3
545,0,1,1,1,0,3,1,10,5
546,0,1,1,0,0,0,3,2,6
547,1,2,0,1,0,0,3,2,1
548,1,2,1,0,0,0,1,1,4
549,0,3,1,1,1,0,3,2,3
550,1,2,1,1,1,0,3,3,0
551,1,1,1,0,2,3,1,11,1
552,0,2,1,0,0,0,3,2,2
553,0,3,1,0,0,0,2,0,5
554,1,3,1,0,0,0,1,0,2
555,1,3,0,0,0,0,3,0,2
556,0,1,1,0,0,0,3,2,6
557,1,1,0,1,0,1,1,3,4
558,0,1,1,0,0,0,1,18,3
559,1,1,0,1,1,5,3,7,3
560,1,3,0,1,0,0,3,1,3
561,0,3,1,0,0,0,2,0,3
562,0,3,1,0,0,0,3,0,4
563,0,2,1,0,0,0,3,1,2
564,0,3,1,0,0,0,3,0,5
565,0,3,0,0,0,0,3,0,5
566,0,3,1,2,0,0,3,2,2
567,0,3,1,0,0,0,3,0,1
568,0,3,0,0,4,0,3,2,2
569,0,3,1,0,0,0,1,0,3
570,1,3,1,0,0,0,3,0,3
571,1,2,1,0,0,0,3,1,6
572,1,1,0,2,0,3,3,5,5
573,1,1,1,0,0,5,3,2,3
574,1,3,0,0,0,0,2,0,4
575,0,3,1,0,0,0,3,0,1
576,0,3,1,0,0,0,3,1,1
577,1,2,0,0,0,0,3,1,3
578,1,1,0,1,0,5,3,5,3
579,0,3,0,1,0,0,1,1,4
580,1,3,1,0,0,0,3,0,3
581,1,2,0,1,1,0,3,3,2
582,1,1,0,1,1,3,1,11,3
583,0,2,1,0,0,0,3,2,5
584,0,1,1,0,0,1,1,4,3
585,0,3,1,0,0,0,1,0,3
586,1,1,0,0,2,5,3,7,1
587,0,2,1,0,0,0,3,1,4
588,1,1,1,1,1,2,1,7,6
589,0,3,1,0,0,0,3,0,2
590,0,3,1,0,0,0,3,0,4
591,0,3,1,0,0,0,3,0,3
592,1,1,0,1,0,4,1,7,5
593,0,3,1,0,0,0,3,0,4
594,0,3,0,0,2,0,2,0,5
595,0,2,1,1,0,0,3,2,3
596,0,3,1,1,1,0,3,2,3
597,1,2,0,0,0,0,3,3,4
598,0,3,1,0,0,0,3,0,4
599,0,3,1,0,0,0,1,0,3
600,1,1,1,1,0,1,1,5,4
601,1,2,0,2,1,0,3,2,2
602,0,3,1,0,0,0,3,0,4
603,0,1,1,0,0,0,3,4,3
604,0,3,1,0,0,0,3,0,4
605,1,1,1,0,0,0,1,2,3
606,0,3,1,1,0,0,3,1,3
607,0,3,1,0,0,0,3,0,3
608,1,1,1,0,0,0,3,3,2
609,1,2,0,1,2,0,1,4,2
610,1,1,0,0,0,3,3,15,4
611,0,3,0,1,5,0,3,3,3
612,0,3,1,0,0,0,3,0,4
613,1,3,0,1,0,0,2,1,6
614,0,3,1,0,0,0,2,0,5
615,0,3,1,0,0,0,3,0,3
616,1,2,0,1,2,0,3,6,2
617,0,3,1,1,1,0,3,1,3
618,0,3,0,1,0,0,3,1,2
619,1,2,0,2,1,6,3,3,0
620,0,2,1,0,0,0,3,1,2
621,0,3,1,1,0,0,1,1,2
622,1,1,1,1,0,4,3,5,4
623,1,3,1,1,1,0,1,1,2
624,0,3,1,0,0,0,3,0,2
625,0,3,1,0,0,0,3,1,2
626,0,1,1,0,0,4,3,3,6
627,0,2,1,0,0,0,2,1,5
628,1,1,0,0,0,4,3,7,2
629,0,3,1,0,0,0,3,0,2
630,0,3,1,0,0,0,2,0,4
631,1,1,1,0,0,1,3,3,8
632,0,3,1,0,0,0,3,0,5
633,1,1,1,0,0,2,1,3,3
634,0,1,1,0,0,0,3,0,4
635,0,3,0,3,2,0,3,2,0
636,1,2,0,0,0,0,3,1,2
637,0,3,1,0,0,0,3,0,3
638,0,2,1,1,1,0,3,2,3
639,0,3,0,0,5,0,3,3,4
640,0,3,1,1,0,0,3,1,4
641,0,3,1,0,0,0,3,0,2
642,1,1,0,0,0,2,1,6,2
643,0,3,0,3,2,0,3,2,0
644,1,3,1,0,0,0,3,5,4
645,1,3,0,2,1,0,1,1,0
646,1,1,1,1,0,4,1,7,4
647,0,3,1,0,0,0,3,0,1
648,1,1,1,0,0,1,1,3,5
649,0,3,1,0,0,0,3,0,5
650,1,3,0,0,0,0,3,0,2
651,0,3,1,0,0,0,3,0,5
652,1,2,0,0,1,0,3,2,1
653,0,3,1,0,0,0,3,0,2
654,1,3,0,0,0,0,2,0,4
655,0,3,0,0,0,0,2,0,1
656,0,2,1,2,0,0,3,7,2
657,0,3,1,0,0,0,3,0,3
658,0,3,0,1,1,0,2,1,3
659,0,2,1,0,0,0,3,1,2
660,0,1,1,0,2,4,1,11,5
661,1,1,1,2,0,0,3,13,5
662,0,3,1,0,0,0,1,0,4
663,0,1,1,0,0,5,3,2,4
664,0,3,1,0,0,0,3,0,3
665,1,3,1,1,0,0,3,0,2
666,0,2,1,2,0,0,3,7,3
667,0,2,1,0,0,0,3,1,2
668,0,3,1,0,0,0,3,0,4
669,0,3,1,0,0,0,3,0,4
670,1,1,0,1,0,3,3,5,3
671,1,2,0,1,1,0,3,3,4
672,0,1,1,1,0,2,3,5,3
673,0,2,1,0,0,0,3,1,7
674,1,2,1,0,0,0,3,1,3
675,0,2,1,0,0,0,3,0,5
676,0,3,1,0,0,0,3,0,1
677,0,3,1,0,0,0,3,0,2
678,1,3,0,0,0,0,3,0,1
679,0,3,0,1,6,0,3,4,4
680,1,1,1,0,1,2,1,21,3
681,0,3,0,0,0,0,2,0,5
682,1,1,1,0,0,4,1,7,2
683,0,3,1,0,0,0,3,0,2
684,0,3,1,5,2,0,3,4,1
685,0,2,1,1,1,0,3,3,6
686,0,2,1,1,2,0,1,4,2
687,0,3,1,4,1,0,3,3,1
688,0,3,1,0,0,0,3,1,1
689,0,3,1,0,0,0,3,0,1
690,1,1,0,0,1,2,3,17,1
691,1,1,1,1,0,2,3,5,3
692,1,3,0,0,1,0,1,1,0
693,1,3,1,0,0,0,3,5,5
694,0,3,1,0,0,0,1,0,2
695,0,1,1,0,0,0,3,2,6
